phrase,teaching_cue,context,speaker_response
Saint.,"And now the word ""saint"".",vocabulary_introduction,Male Speaker
Saint-Jacques.,"Say, ""Saint-Jacques.""",vocabulary_introduction,Male Speaker
Michel.,"Now here's another common French name, ""Michael.""",vocabulary_introduction,Male Speaker
Saint-Michel.,"Say, ""Saint Michael.""",vocabulary_introduction,Male Speaker
La rue.,"And now, ""the street"". Listen and repeat.",vocabulary_introduction,Male Speaker
Rue.,"And now, ""the street"". Listen and repeat.",vocabulary_introduction,Male Speaker
La rue Saint-Jacques.,"Again, say, ""The street.""",vocabulary_introduction,Male Speaker
La rue Saint-Michel.,"And now, try to say, ""Saint Michael Street.""",vocabulary_introduction,Male Speaker
Où.,"Now, here's how to ask, ""Where is such and such?"" First the word ""where.""",vocabulary_introduction,Male Speaker
Est.,"And now the word ""is.""",vocabulary_introduction,Male Speaker
Où est...,"Now you try to ask, ""Where is...""",question,Male Speaker
Où est la rue?,"And now try to ask, ""Where is the street?""",question,Male Speaker
Où est la rue Saint-Jacques?,"Ask, ""Where is Saint-Jacques Street?""",question,Male Speaker
S'il vous plait.,"Say, ""Please.""",politeness,Male Speaker
Le boulevard.,"Here's the word for ""boulevard"" in French. Listen and repeat, being sure you imitate the French pronunciation in every way.",vocabulary_introduction,Male Speaker
Boulevard.,"Here's the word for ""boulevard"" in French. Listen and repeat, being sure you imitate the French pronunciation in every way.",vocabulary_introduction,Male Speaker
Le boulevard Saint-Michel.,"And now try to say, ""Saint Michael Boulevard.""",vocabulary_introduction,Male Speaker
Où est le boulevard Saint-Michel?,Now ask where this boulevard is.,question,Male Speaker
Ici.,"Well, the answer is, ""It's here."" Practice the word ""here"".",vocabulary_introduction,Male Speaker
C'est.,"And now, ""it is.""",vocabulary_introduction,Male Speaker
Ce.,"Well, the first sound is what means ""it.""",vocabulary_introduction,Female Speaker
C'est ici.,"Now try to say, ""It's here."" Let me give you the clue that the word ""c'est"" has a disappearing ""T"" on the end of it.",affirmation,Female Speaker
"C'est ici, Monsieur.","Answer, ""It's here, sir.""",affirmation,Female Speaker
Est-ce que c'est ici?,"Now try to ask, ""Is it here?""",question,Male Speaker
"Oui, c'est ici.","Reply, ""Yes, it's here.""",response,Female Speaker
"Non, ce n'est pas ici.","And now try to say, ""No, it's not here.""",negation,Female Speaker
Ce n'est pas ici.,"Say again, ""It's not here.""",negation,Female Speaker
C'est là-bas.,"Here's how to say, ""It's over there."" Practice the expression meaning ""over there"" or ""down there.""",affirmation,Female Speaker
Là-bas.,"Here's how to say, ""It's over there."" Practice the expression meaning ""over there"" or ""down there.""",vocabulary_introduction,Female Speaker
Ce n'est pas là-bas.,"""It's not down there.""",negation,Male Speaker
Le boulevard Saint-Michel est ici.,"Say, ""Saint Michael Boulevard is here.""",affirmation,Female Speaker
"Où est la rue Saint-Jacques, s'il vous plaît?",Ask where Saint-Jacques street is.,question,Male Speaker
"Non, Monsieur.","""No, sir.""",response,Female Speaker
C'est là-bas.,"Say, ""It's down there.""",affirmation,Female Speaker
"Bonjour, Mademoiselle.",Bonjour.,greeting,Male Speaker
"Très bien, merci. Et vous?","Très bien, merci.",response,Male Speaker
"Oui, Mademoiselle, je suis américain.","Oui, Mademoiselle.",response,Male Speaker
Un peu.,"Say, ""A little.""",response,Male Speaker
Je comprends un peu le français.,"Say, ""I understand French a little.""",affirmation,Male Speaker
Je parle un peu.,"""I speak a little.""",affirmation,Male Speaker
"C'est ici, Mademoiselle.","Tell her, ""It's here.""",affirmation,Male Speaker
La rue Saint-Jacques n'est pas là-bas.,Tell her that Saint-Jacques street is not down there.,negation,Male Speaker
Le boulevard Saint-Michel est là-bas.,Tell her Saint Michael Boulevard is down there.,affirmation,Male Speaker
Mais la rue Saint-Jacques est ici.,Tell her but Saint-Jacques Street is here.,affirmation,Male Speaker
"Je ne comprends pas, Mademoiselle.","Je ne comprends pas, Mademoiselle.",negation,Male Speaker
"Au revoir, Mademoiselle.",Say goodbye to her.,farewell,Male Speaker
