lesson_number,position_in_lesson,phrase,teaching_cue,context,speaker_response
5,31,C'est là-bas.,"Say, ""It's down there.""",vocabulary_introduction,Male Speaker
5,32,Vous savez.,"Here's ""You know."" Listen and repeat.",vocabulary_introduction,Male Speaker
5,33,Je sais.,"And how do you say, ""I know""?",vocabulary_introduction,Female Speaker
5,34,Est-ce que vous savez?,"Try to ask, ""Do you know?""",question,Male Speaker
5,35,Savez-vous?,"Here's another way of asking, ""Do you know?"" Listen and repeat.",question,Male Speaker
5,36,"Non, je ne sais pas.","Answer, ""No, I don't know.""",vocabulary_introduction,Female Speaker
5,37,Je veux.,"Say, ""I want.""",vocabulary_introduction,Male Speaker
5,38,Vous voulez.,"Here's how to say, ""You want.""",vocabulary_introduction,Female Speaker
5,39,Je ne veux pas.,"Now try to say, ""I don't want.""",negation,Male Speaker
5,40,"Je ne veux pas, moi.","And now say the same thing with ""moi"" at the end.",negation,Male Speaker
5,41,Est-ce que vous voulez?,"How would you ask, ""Do you want?""",question,Male Speaker
5,42,Vous voudriez.,Listen and repeat.,vocabulary_introduction,Female Speaker
5,43,Vous voudriez manger quelque chose.,"Here's how to say, ""You would like to eat something.""",vocabulary_introduction,Female Speaker
5,44,Manger.,"Listen and repeat the word ""to eat.""",vocabulary_introduction,Male Speaker
5,45,Quelque chose.,"Listen and repeat how the French say ""something.""",vocabulary_introduction,Female Speaker
5,46,Est-ce que vous voudriez manger quelque chose?,"Now try to ask, ""Would you like to eat something?""",question,Male Speaker
5,47,Je voudrais.,"Listen and repeat, ""I would like.""",vocabulary_introduction,Female Speaker
5,48,"Oui, je voudrais manger.","Say, ""Yes, I would like to eat.""",vocabulary_introduction,Female Speaker
5,49,"Oui, je voudrais manger quelque chose.","Now say, ""Yes, I would like to eat something.""",vocabulary_introduction,Female Speaker
5,50,Je voudrais boire quelque chose.,"Here's how to say, ""I would like to drink something."" Just listen.",vocabulary_introduction,Female Speaker
5,51,Boire.,"Listen and repeat the word, ""to drink.""",vocabulary_introduction,Male Speaker
5,52,Est-ce que vous voudriez boire quelque chose?,"Now try to ask, ""Would you like to drink something?""",question,Male Speaker
5,53,"Non, merci.","Say, ""No, thank you.""",vocabulary_introduction,Female Speaker
5,54,Mais je voudrais manger quelque chose.,"How does she add, ""But I would like to eat something""?",vocabulary_introduction,Female Speaker
5,55,"Bonjour, Monsieur.",Do you remember how to greet a man in French?,vocabulary_introduction,Female Speaker
5,56,"Bonjour, Madame.",And how would you greet a woman?,vocabulary_introduction,Male Speaker
5,57,"Bonjour, Mademoiselle.",And how would you greet a woman?,vocabulary_introduction,Male Speaker
5,58,Comment allez-vous?,"Ask, ""How are you?""",question,Female Speaker
5,59,"Très bien, merci.","Answer, ""Fine, thanks.""",vocabulary_introduction,Male Speaker
5,60,Je vais bien.,"""I am well.""",vocabulary_introduction,Male Speaker
5,61,Est-ce que vous allez bien?,"""Are you well?""",question,Male Speaker
5,62,Moi?,"Ask, ""Me?""",vocabulary_introduction,Female Speaker
5,63,"Non, je ne vais pas très bien.","""No, I'm not very well.""",vocabulary_introduction,Female Speaker
5,64,Pardon.,"Say, ""Pardon me.""",vocabulary_introduction,Male Speaker
5,65,"Ce n'est pas ici, c'est là-bas.","How does she tell you, ""It's not here, it's down there""?",vocabulary_introduction,Female Speaker
5,66,"Je ne sais pas, moi.","How does she say, ""I don't know""?",vocabulary_introduction,Female Speaker
5,67,"Ah oui, je sais.","How does she say, ""Ah, yes, I know""?",vocabulary_introduction,Female Speaker
5,68,Où?,"Ask her, ""Where?""",question,Male Speaker
5,69,Mais je ne sais pas.,"How does she say, ""But I don't know""?",vocabulary_introduction,Female Speaker
5,70,Oh non.,"How does she say, ""Oh, no""?",vocabulary_introduction,Female Speaker
5,71,"Non, merci, Monsieur.","How do she say, ""No, thank you""?",vocabulary_introduction,Female Speaker
5,72,"Ah, très bien.","Say, ""Ah, very well.""",vocabulary_introduction,Male Speaker
5,73,"Mais moi, je ne veux pas manger.","He says emphatically, ""But me, I don't want to eat."" Listen and repeat.",negation,Male Speaker
5,74,"Au revoir, Monsieur.",How does she take leave of you?,vocabulary_introduction,Female Speaker
5,75,Au revoir.,How does she take leave of you?,vocabulary_introduction,Female Speaker
