phrase,teaching_cue,context,speaker_response
Cinquante.,"Répondez, ""Fifty kilometers.""",vocabulary_introduction,Male Speaker
Donnez-moi vingt-cinq litres.,"Dites, ""Give me twenty-five liters.""",vocabulary_introduction,Female Speaker
Donnez-moi vingt-cinq litres d'essence.,"""Give me twenty-five liters of gas.""",vocabulary_introduction,Male Speaker
Il y a beaucoup d'essence.,"Dites, ""There's a lot of gas.""",vocabulary_introduction,Male Speaker
Dans notre voiture.,"""In our car.""",vocabulary_introduction,Male Speaker
Ça suffit pour cinquante kilomètres.,"Dites, ""It's enough for fifty kilometers.""",vocabulary_introduction,Male Speaker
Je voudrais aller à Paris.,Dites que vous voudriez aller à Paris.,vocabulary_introduction,Male Speaker
Nous voudrions aller à Paris.,Dites que vous voudriez aller à Paris.,vocabulary_introduction,Male Speaker
Il y a combien de kilomètres?,Demandez combien de kilomètres il y a.,question,Male Speaker
"Il y a combien de kilomètres, s'il vous plaît?",Demandez combien de kilomètres il y a.,question,Male Speaker
Il y a soixante kilomètres.,"Répondez, ""There are sixty kilometers.""",vocabulary_introduction,Female Speaker
Très bien.,"Dites, ""Fine.""",vocabulary_introduction,Male Speaker
Il y a beaucoup d'essence dans la voiture.,"Dites, ""There is a lot of gas in the car.""",vocabulary_introduction,Male Speaker
Dans la voiture.,"Dites, ""There is a lot of gas in the car.""",vocabulary_introduction,Male Speaker
Et nous allons à Paris.,"Dites, ""And we are going to Paris.""",vocabulary_introduction,Male Speaker
