phrase,first_lesson,occurrences,word_count,parent_count,child_count,parents,children
Je ne.,1,2,2,2,61,ne|je,"non, monsieur. je ne comprends pas l'anglais|je ne comprends pas|je ne comprends pas l'anglais|non, je ne comprends pas|je ne comprends pas le français"
Je ne comprends pas l'anglais.,1,16,5,10,2,l'anglais|ne|je|comprends|je comprends,"non, monsieur. je ne comprends pas l'anglais|non, monsieur, je ne comprends pas l'anglais"
"Non, je ne comprends pas.",1,2,5,8,2,ne|je|comprends|je comprends|je ne comprends pas,"non, monsieur. je ne comprends pas l'anglais|non, monsieur, je ne comprends pas l'anglais"
Le français.,1,8,2,1,22,français,je comprends un peu le français|je comprends le français|prends le français|comprends le français|je ne comprends pas le français
français.,1,4,1,0,38,,je comprends un peu le français|le français|je comprends le français|prends le français|comprends le français
Je comprends le français.,1,23,4,6,6,je|comprends|je comprends|le français|français,"je comprends un peu le français|je ne comprends pas le français|oui, je comprends le français|mais je comprends le français|oui, je comprends bien le français"
Prends le français.,1,2,3,4,0,prends|le français|français|prends le,
Comprends le français.,1,2,3,3,7,comprends|le français|français,"je comprends un peu le français|je comprends le français|je ne comprends pas le français|oui, je comprends le français|mais je comprends le français"
Je ne comprends pas le français.,1,10,6,12,0,ne|je|comprends|je comprends|je ne comprends pas,
Vous comprenez le français?,1,3,4,5,7,comprenez|vous comprenez|vous|le français|français,"est-ce que vous comprenez le français|pardon, monsieur? est-ce que vous comprenez le français|ah, vous comprenez le français|mais vous comprenez très bien le français|mais monsieur, vous comprenez très bien le français"
Est-ce que vous comprenez le français?,1,26,6,8,2,comprenez|vous comprenez|vous|est-ce que|est-ce que vous comprenez,"pardon, monsieur? est-ce que vous comprenez le français|je suis française. est-ce que vous comprenez le français"
Un peu.,1,22,2,1,14,peu,"je comprends un peu le français|je comprends un peu|un peu le français|je comprends un peu l'anglais|oui, un peu"
Peu.,1,3,1,0,16,,je comprends un peu le français|un peu|je comprends un peu|un peu le français|je comprends un peu l'anglais
Je comprends un peu.,1,11,4,5,2,je|comprends|je comprends|un peu|peu,je comprends un peu le français|je comprends un peu l'anglais
Un peu le français.,1,1,4,4,2,le français|français|un peu|peu,je comprends un peu le français|je parle un peu le français
Américain.,1,5,1,0,12,,"est-ce que vous êtes américain|vous êtes américain|oui, vous êtes américain|oui, je suis américain|je suis américain"
Cain.,1,2,1,0,0,,
Amer.,1,2,1,0,0,,
Vous êtes.,1,9,2,1,32,vous,"est-ce que vous êtes américain|vous êtes américain|oui, vous êtes américain|vous êtes américain, monsieur|est-ce que vous êtes américain, monsieur"
Vous êtes américain.,1,5,3,3,3,vous|américain|vous êtes,"est-ce que vous êtes américain|oui, vous êtes américain|très bien. est-ce que vous êtes américain"
Oui.,1,6,1,0,2,,"mais oui|est-ce que vous voudriez déjeuner, oui ou non"
Moiselle.,1,4,1,0,0,,
Mademoiselle.,1,8,1,0,28,,"oui, mademoiselle|pardon, mademoiselle|oui. est-ce que vous comprenez l'anglais, mademoiselle|bonjour, mademoiselle|très bien, mademoiselle"
"Non, Monsieur, je ne comprends pas l'anglais.",1,3,7,12,0,l'anglais|ne|je|comprends|je comprends,
"Pardon, Mademoiselle?",1,4,2,1,0,mademoiselle,
"Est-ce que vous comprenez le français, Monsieur?",1,2,7,6,0,comprenez|vous comprenez|vous|est-ce que|est-ce que vous comprenez,
"Est-ce que vous comprenez l'anglais, Monsieur?",1,3,6,6,0,comprenez|vous comprenez|vous|est-ce que|est-ce que vous comprenez,
"Oui, Mademoiselle. Je comprends l'anglais.",1,2,5,6,0,l'anglais|je|comprends|je comprends|je comprends l'anglais,
"Pardon, Monsieur? Est-ce que vous comprenez le français?",2,2,8,9,0,comprenez|vous comprenez|vous|est-ce que|est-ce que vous comprenez,
"Oui. Est-ce que vous comprenez l'anglais, Mademoiselle?",2,2,7,6,0,comprenez|vous comprenez|vous|est-ce que|est-ce que vous comprenez,
Prends le.,2,2,2,1,1,prends,prends le français
Je comprends un peu l'anglais.,2,5,5,9,0,l'anglais|je|comprends|je comprends|je comprends l'anglais,
Peu l'anglais.,2,2,2,2,1,l'anglais|peu,je comprends un peu l'anglais
Selle.,2,2,1,0,0,,
Moi.,2,3,1,0,31,,"je ne veux pas, moi|je ne sais pas, moi|oui, moi aussi, je voudrais manger quelque chose|chez moi|moi aussi"
Mad.,2,2,1,0,0,,
"Oui, vous êtes américain.",2,2,4,4,0,vous|américain|vous êtes|vous êtes américain,
Bonjour.,2,20,1,0,0,,
Bon.,2,4,1,0,7,,"savez-vous où il y a un bon restaurant|monsieur, savez-vous où il y a un bon restaurant|un bon vin|dans un bon magasin|du bon vin"
Jour.,2,4,1,0,0,,
"Bonjour, Mademoiselle.",2,13,2,1,0,mademoiselle,
Madame.,2,3,1,0,16,,"bonjour, madame|non, madame|oui, madame|au revoir, madame|pardon, madame"
"Bonjour, Madame.",2,8,2,1,0,madame,
"Bonjour, Monsieur.",2,11,2,1,0,monsieur,
Comment.,2,7,1,0,11,,"comment allez-vous|comment allez-vous, monsieur|comment allez-vous, madame|bonjour, monsieur. comment allez-vous|mademoiselle, comment allez-vous"
Vous allez.,2,6,2,1,22,vous,est-ce que vous allez bien|vous allez manger|est-ce que vous allez manger|est-ce que vous allez manger à cinq heures|est-ce que vous allez déjeuner avec moi
Comment allez-vous?,2,27,2,1,5,comment,"bonjour, monsieur. comment allez-vous|mademoiselle, comment allez-vous|bonjour, michel. comment allez-vous|bonjour, marie. comment allez-vous|comment allez-vous aujourd'hui"
"Très bien, merci.",2,11,3,2,2,merci|très,"très bien, monsieur, merci|très bien, merci et vous"
Merci.,2,6,1,0,15,,"très bien, merci|je vais bien, merci|très bien, monsieur, merci|bien, madame. merci|oui, merci"
Bien.,2,4,1,0,43,,je vais bien|très bien|pas très bien|je ne comprends pas très bien|vous comprenez très bien
Très.,2,3,1,0,36,,"très bien, merci|très bien, mademoiselle|très bien|très bien, monsieur, merci|pas très bien"
"Comment allez-vous, Monsieur?",2,4,3,2,1,monsieur|comment,"bonjour. comment allez-vous, monsieur"
"Très bien, Mademoiselle.",2,3,3,2,0,mademoiselle|très,
Je vais bien.,2,10,3,3,8,je|bien|je vais,"non, je ne vais pas bien|je ne vais pas bien|non, je ne vais pas très bien|je ne vais pas très bien|oui, je vais bien"
Au revoir.,2,16,2,1,3,au,"au revoir, mademoiselle. au revoir|d'accord. au revoir|alors, au revoir"
Voir.,2,3,1,0,12,,je vais voir des amis|je vais voir|je vais voir mes amis|je vais voir jacques|est-ce que vous allez voir georges
"Je vais bien, merci.",2,4,4,3,1,je|merci|je vais,"oui, je vais bien, merci"
"Non, Madame.",2,2,2,1,0,madame,
"Oui, Madame.",2,1,2,1,0,madame,
"Au revoir, Madame.",2,6,3,2,0,madame|au,
"Au revoir, Monsieur.",2,6,3,2,1,monsieur|au,"moi? très bien, merci. au revoir, monsieur"
"Pardon, Madame.",2,6,2,1,0,madame,
"Est-ce que vous comprenez, Madame?",2,1,5,3,0,vous|est-ce que|madame,
"Oui, Monsieur, je comprends.",2,1,4,3,0,je|comprends|je comprends,
"Ah, vous comprenez le français?",2,4,5,6,0,comprenez|vous comprenez|vous|le français|français,
"Oui, je comprends le français.",2,1,5,7,1,je|comprends|je comprends|le français|français,"oui, je comprends bien le français"
Très bien.,2,11,2,2,17,bien|très,"pas très bien|je ne comprends pas très bien|vous comprenez très bien|oui, madame, un peu. pas très bien|mais vous comprenez très bien le français"
"Comment allez-vous, Madame?",2,2,3,2,0,madame|comment,
"Très bien, Monsieur, merci.",2,2,4,4,0,"très bien, merci|merci|très|bien, très bien, merci",
"Je ne comprends pas, Madame.",2,2,5,6,0,ne|je|comprends|je comprends|je ne,
"Oui, je comprends l'anglais.",2,1,4,5,1,l'anglais|je|comprends|je comprends|je comprends l'anglais,"oui, mademoiselle. je comprends l'anglais"
Pas très bien.,2,15,3,4,6,pas|bien|très|très bien,"je ne comprends pas très bien|oui, madame, un peu. pas très bien|oh, un peu. je ne comprends pas très bien|moi? pas très bien|non, je ne vais pas très bien"
Je ne comprends pas très bien.,2,5,6,13,1,ne|je|comprends|je comprends|je ne comprends pas,"oh, un peu. je ne comprends pas très bien"
Vous comprenez très bien.,2,5,4,6,2,comprenez|vous comprenez|vous|bien|très,"mais vous comprenez très bien le français|mais monsieur, vous comprenez très bien le français"
"Merci, Mademoiselle.",2,3,2,1,0,mademoiselle,
"Au revoir, Mademoiselle.",2,4,3,2,0,mademoiselle|au,
"Bonjour, Monsieur. Comment allez-vous?",3,2,4,2,0,comment|comment allez-vous,
"Bien, Madame. Merci.",3,2,3,1,0,merci,
"Oui, Madame, un peu. Pas très bien.",3,2,7,6,0,pas|bien|très|très bien|pas très bien,
"Vous êtes américain, Monsieur?",3,2,4,3,1,vous|monsieur|vous êtes,"est-ce que vous êtes américain, monsieur"
Mais vous comprenez très bien le français.,3,2,7,12,1,comprenez|vous comprenez|vous|le français|français,"mais monsieur, vous comprenez très bien le français"
"Merci, Madame.",3,4,2,1,0,madame,
"Est-ce que vous êtes américain, Monsieur?",3,2,6,5,0,"vous|est-ce que|monsieur|vous êtes|vous êtes américain, monsieur",
"Est-ce que vous êtes américaine, Mademoiselle?",3,3,6,4,0,vous|est-ce que|vous êtes|mademoiselle,
Américaine.,3,4,1,0,7,,"américain, américaine|est-ce que vous êtes américaine|je suis américaine|vous êtes américaine|vous n'êtes pas américaine"
Caine.,3,2,1,0,1,,"cain, caine"
"Cain, Caine.",3,3,2,1,0,caine,
"Américain, Américaine.",3,4,2,1,0,américaine,
Est-ce que vous êtes américaine?,3,2,5,5,0,vous|est-ce que|vous êtes|américaine|vous êtes américaine,
"Oui, je suis américain.",3,1,4,5,2,je|américain|je suis|suis|je suis américain,"oui, mademoiselle. je suis américain|oui, mademoiselle, je suis américain"
Je suis.,3,9,2,2,28,je|suis,"oui, je suis américain|je suis américain|je suis américaine|je suis français|je suis française"
Suis.,3,5,1,0,29,,"oui, je suis américain|je suis|je suis américain|je suis américaine|je suis français"
Je suis américain.,3,12,3,4,6,je|américain|je suis|suis,"oui, je suis américain|non, madame, je suis américain|je ne suis pas américain|je suis américain et vous|oui, mademoiselle. je suis américain"
Je suis américaine.,3,7,3,4,0,je|américaine|je suis|suis,
Je suis français.,3,2,3,4,2,je|français|je suis|suis,je ne suis pas français|je suis française. est-ce que vous comprenez le français
Je suis française.,3,1,3,4,1,je|je suis|suis|française,je ne suis pas française
française.,3,2,1,0,5,,"je suis française|français, française|est-ce que vous êtes française|je ne suis pas française|nous avons une voiture française"
"français, française.",3,2,2,1,0,française,
Est-ce que vous êtes français?,3,3,5,4,1,vous|est-ce que|français|vous êtes,"pardon, monsieur, est-ce que vous êtes français"
Est-ce que vous êtes française?,3,4,5,4,0,vous|est-ce que|vous êtes|française,
"Est-ce que vous êtes française, Mademoiselle?",3,2,6,4,0,vous|est-ce que|vous êtes|mademoiselle,
Je ne suis pas française.,3,6,5,8,0,ne|je|pas|je ne|je suis,
Je ne suis pas français.,3,5,5,8,0,ne|je|pas|je ne|français,
Et vous?,3,9,2,2,19,vous|et,"je suis américain, et vous|je suis américaine, et vous|je suis américain et vous|oui, mademoiselle, je suis français. et vous|très bien, merci. et vous"
Et.,3,6,1,0,97,,"et vous|je suis américain, et vous|je suis américaine, et vous|je suis américain et vous|très bien, merci. et vous, monsieur"
"Je suis américain, et vous?",3,1,5,6,0,vous|je|je suis|suis|et vous,
"Je suis américaine, et vous?",3,1,5,6,0,vous|je|je suis|suis|et vous,
Vous êtes américaine.,3,1,3,3,1,vous|vous êtes|américaine,est-ce que vous êtes américaine
Vous n'êtes pas américaine.,3,4,4,4,0,vous|pas|américaine|pas américaine,
Pas américaine.,3,1,2,2,1,pas|américaine,vous n'êtes pas américaine
Vous n'êtes pas américain.,3,3,4,3,0,vous|pas|américain,
"Vous n'êtes pas américaine, Madame.",3,1,5,3,0,vous|pas|madame,
"Vous n'êtes pas américain, Monsieur.",3,1,5,3,0,vous|monsieur|pas,
Mais.,3,6,1,0,79,,"mais vous comprenez très bien le français|mais je comprends|mais je comprends le français|mais oui|mais oui, mademoiselle"
Mais je comprends.,3,2,3,4,2,je|comprends|je comprends|mais,"mais je comprends le français|mais en français, je ne vous comprends pas"
Mais je comprends le français.,3,4,5,9,0,je|comprends|je comprends|le français|français,
"Non, Madame, je suis américain.",3,1,5,5,0,je|américain|je suis|suis|je suis américain,
"Oui, un peu.",3,1,3,2,0,un peu|peu,
S'il vous plaît.,3,11,3,4,34,vous|plaît|vous plaît|s'il,"où est la rue saint-jacques s'il vous plaît|où est la rue saint-jacques, s'il vous plaît|pardon, où est la rue saint-jacques, s'il vous plaît|où est la rue lafayette, s'il vous plaît|où est le boulevard saint-michel, s'il vous plaît"
Plaît.,3,2,1,0,36,,"s'il vous plaît|vous plaît|où est la rue saint-jacques s'il vous plaît|où est la rue saint-jacques, s'il vous plaît|pardon, où est la rue saint-jacques, s'il vous plaît"
Vous plaît.,3,2,2,2,35,vous|plaît,"s'il vous plaît|où est la rue saint-jacques s'il vous plaît|où est la rue saint-jacques, s'il vous plaît|pardon, où est la rue saint-jacques, s'il vous plaît|où est la rue lafayette, s'il vous plaît"
S'il.,3,4,1,0,41,,"s'il vous plaît|s'il vous plaît, monsieur|où est la rue saint-jacques s'il vous plaît|où est le boulevard saint-michel, s'il vous plait|où est la rue saint-jacques, s'il vous plait"
"Non, Mademoiselle.",3,1,2,1,0,mademoiselle,
Je ne suis pas américain.,3,4,5,8,0,ne|je|pas|je ne|américain,
Vous ne comprenez pas l'anglais.,3,2,5,8,0,l'anglais|comprenez|ne|vous comprenez|vous,
Vous n'êtes pas français.,3,2,4,3,0,vous|pas|français,
Je suis américain et vous?,3,2,5,8,0,vous|je|américain|je suis|suis,
Est-ce que vous allez bien?,3,7,5,4,0,vous|est-ce que|vous allez|bien,
"Oui, merci.",3,2,2,1,1,merci,"oui, je vais bien, merci"
"Non, je ne vais pas bien.",3,2,6,8,1,ne|je|pas|je ne|bien,"non, je ne vais pas très bien"
"S'il vous plaît, Monsieur.",3,2,4,3,0,vous|monsieur|s'il,
Mais oui.,3,4,2,2,0,oui|mais,
"Mais oui, Mademoiselle.",3,1,3,3,0,"oui, mademoiselle|mademoiselle|mais",
Mademoiselle! Mademoiselle!,3,1,2,1,0,mademoiselle,
"Oui, Monsieur.",3,5,2,1,1,monsieur,"oui, c'est ici, monsieur"
"Très bien, merci. Et vous, Monsieur?",3,1,6,3,0,monsieur|très|et,
"Oui, Mademoiselle. Je suis américain.",3,2,5,6,0,"je|américain|oui, je suis américain|je suis|suis",
"Mais Monsieur, vous comprenez très bien le français.",3,1,8,13,0,comprenez|vous comprenez|vous|le français|français,
Merci bien.,3,2,2,2,0,merci|bien,
"Je trouve que pour un américain, vous parlez très bien le français.",3,1,12,12,0,vous|je|le français|français|bien,
Pardon? Je ne comprends pas.,3,1,5,8,0,ne|je|comprends|je comprends|je ne comprends pas,
Vous parlez très bien.,3,3,4,7,2,vous|bien|très|très bien|vous parlez,"je trouve que pour un américain, vous parlez très bien le français|mais si, mais si, vous parlez très bien"
"S’il vous plaît, Mademoiselle.",3,2,4,2,0,vous|mademoiselle,
"Au revoir, Mademoiselle. Au revoir.",3,1,5,2,0,au revoir|au,
"Pardon, Monsieur, est-ce que vous êtes français?",4,2,7,5,0,vous|est-ce que|français|vous êtes|est-ce que vous êtes français,
"Oui, Mademoiselle, je suis français. Et vous?",4,2,7,6,0,vous|je|je suis|suis|et vous,
Mais vous comprenez le français?,4,2,5,7,2,comprenez|vous comprenez|vous|le français|français,"mais vous comprenez très bien le français|mais monsieur, vous comprenez très bien le français"
"Oh, un peu. Je ne comprends pas très bien.",4,2,9,14,0,ne|je|comprends|je comprends|je ne comprends pas,
"Mais si, mais si, vous parlez très bien.",4,2,8,9,0,vous|bien|très|très bien|mais,
"Merci, Monsieur.",4,3,2,1,2,monsieur,"non, merci, monsieur|non merci, monsieur"
Je ne vais pas bien.,4,2,5,7,3,ne|je|pas|je ne|bien,"non, je ne vais pas bien|non, je ne vais pas très bien|je ne vais pas très bien"
Mais si.,4,4,2,2,0,mais|si,
Vous parlez.,4,4,2,2,12,vous|parlez,"je trouve que pour un américain, vous parlez très bien le français|vous parlez très bien|mais si, mais si, vous parlez très bien|vous parlez bien|vous parlez français"
Parlez.,4,1,1,0,15,,"je trouve que pour un américain, vous parlez très bien le français|vous parlez très bien|mais si, mais si, vous parlez très bien|vous parlez|vous parlez bien"
Vous parlez bien.,4,4,3,4,3,vous|bien|vous parlez|parlez,"je trouve que pour un américain, vous parlez très bien le français|vous parlez très bien|mais si, mais si, vous parlez très bien"
Je parle.,4,2,2,2,8,je|parle,je parle un peu|mais je ne parle pas|je ne parle pas bien|et je parle un peu|je parle français
Parle.,4,1,1,0,11,,je parle|je parle un peu|mais je ne parle pas|je ne parle pas bien|et je parle un peu
Je parle un peu.,4,3,4,5,2,je|un peu|peu|je parle|parle,et je parle un peu|je parle un peu le français
Mais je ne parle pas.,4,1,5,7,0,ne|je|pas|je ne|mais,
Je ne parle pas bien.,4,6,5,7,0,ne|je|pas|je ne|bien,
Si.,4,2,1,0,5,,"mais si|si vous voulez|oui, si la voiture est petite|si vous prenez la bonne route|si vous n'êtes pas seul"
Et je parle un peu.,4,6,5,7,0,je|un peu|peu|et|je parle,
Où est la rue Saint-Jacques s'il vous plaît?,4,1,8,15,0,vous|s'il vous plaît|plaît|vous plaît|s'il,
Jacques.,4,3,1,0,7,,où est le restaurant chez jacques|où est jacques|jacques n'est pas ici|et qui est jacques|jacques est indépendant
Saint.,4,3,1,0,0,,
Saint-Jacques.,4,5,1,0,12,,où est la rue saint-jacques s'il vous plaît|la rue saint-jacques|où est la rue saint-jacques|la rue saint-jacques n'est pas là-bas|mais la rue saint-jacques est ici
Michel.,4,3,1,0,1,,où est le restaurant chez michel
Saint-Michel.,4,4,1,0,8,,la rue saint-michel|le boulevard saint-michel|où est le boulevard saint-michel|le boulevard saint-michel est ici|et le boulevard saint-michel
La rue.,4,7,2,1,15,rue,où est la rue saint-jacques s'il vous plaît|la rue saint-jacques|la rue saint-michel|où est la rue|où est la rue saint-jacques
Rue.,4,3,1,0,20,,où est la rue saint-jacques s'il vous plaît|la rue|la rue saint-jacques|la rue saint-michel|où est la rue
La rue Saint-Jacques.,4,7,3,4,8,saint-jacques|la rue|rue|rue saint-jacques,où est la rue saint-jacques s'il vous plaît|où est la rue saint-jacques|la rue saint-jacques n'est pas là-bas|mais la rue saint-jacques est ici|la rue saint-jacques est ici
La rue Saint-Michel.,4,2,3,3,0,saint-michel|la rue|rue,
Ou.,4,6,1,0,28,,"ou du vin|du vin ou de la bière|qu'est-ce que vous voudriez boire? du vin ou de la bière|qu'est-ce que vous voudriez boire, du vin ou de la bière|ou de la bière"
Est.,4,5,1,0,117,,où est la rue saint-jacques s'il vous plaît|où est|où est la rue|où est la rue saint-jacques|où est le boulevard saint-michel
Où est.,4,2,2,2,30,est|où,"où est la rue saint-jacques s'il vous plaît|où est la rue|où est la rue saint-jacques|où est le boulevard saint-michel|où est le boulevard saint-michel, s'il vous plait"
Où est la rue?,4,2,4,5,8,la rue|rue|est|où est|où,"où est la rue saint-jacques s'il vous plaît|où est la rue saint-jacques|où est la rue saint-jacques, s'il vous plait|où est la rue saint-jacques, s'il vous plaît|pardon, où est la rue saint-jacques, s'il vous plaît"
Où est la rue Saint-Jacques?,4,9,5,9,3,saint-jacques|la rue|rue|la rue saint-jacques|est,où est la rue saint-jacques s'il vous plaît|est-ce que vous savez où est la rue saint-jacques|savez-vous où est la rue saint-jacques
Sil vous plait.,4,1,3,1,0,vous,
Le boulevard.,4,4,2,1,11,boulevard,"le boulevard saint-michel|où est le boulevard saint-michel|où est le boulevard saint-michel, s'il vous plait|le boulevard saint-michel est ici|et le boulevard saint-michel"
Boulevard.,4,3,1,0,13,,"le boulevard|le boulevard saint-michel|où est le boulevard saint-michel|où est le boulevard saint-michel, s'il vous plait|le boulevard saint-michel est ici"
Le boulevard Saint-Michel.,4,4,3,3,5,saint-michel|le boulevard|boulevard,où est le boulevard saint-michel|le boulevard saint-michel est ici|et le boulevard saint-michel|le boulevard saint-michel est là-bas|mais le boulevard saint-michel est ici
Où est le boulevard Saint-Michel?,4,8,5,8,0,saint-michel|est|où est|le boulevard|boulevard,
"Où est le boulevard Saint-Michel, s'il vous plait?",4,1,8,8,0,vous|s'il|est|où est|le boulevard,
Ici.,4,6,1,0,42,,"c'est ici|est-ce que c'est ici|oui, c'est ici|non, ce n'est pas ici|ce n'est pas ici"
C'est.,4,5,1,0,64,,"c'est ici|c'est ici, monsieur|est-ce que c'est ici|oui, c'est ici|c'est là-bas"
Ce.,4,2,1,0,38,,"non, ce n'est pas ici|ce n'est pas ici|ce n'est pas là-bas|ce n'est pas ici, c'est là-bas|et ce n'est pas là-bas"
C'est ici.,4,5,2,2,3,ici|c'est,"est-ce que c'est ici|oui, c'est ici|ou est-ce que c'est ici"
"Où est la rue Saint-Jacques, s'il vous plait?",4,1,8,8,0,vous|s'il|la rue|rue|est,
"C'est ici, Monsieur.",4,4,3,2,1,monsieur|c'est,"oui, c'est ici, monsieur"
Est-ce que c'est ici?,4,13,4,4,1,est-ce que|ici|c'est|c'est ici,ou est-ce que c'est ici
"Oui, c'est ici.",4,1,3,3,0,ici|c'est|c'est ici,
"Non, ce n'est pas ici.",4,4,5,5,0,pas|ici|ce|ce n'est pas ici|pas ici,
Ce n'est pas ici.,4,7,4,4,1,pas|ici|ce|pas ici,"non, ce n'est pas ici"
C'est là-bas.,4,14,2,2,3,c'est|là-bas,"non, c'est là-bas|ce n'est pas ici, c'est là-bas|est-ce que c'est là-bas"
Là-bas.,4,6,1,0,32,,"c'est là-bas|ce n'est pas là-bas|la rue saint-jacques n'est pas là-bas|le boulevard saint-michel est là-bas|non, c'est là-bas"
Ce n'est pas là-bas.,4,4,4,3,2,pas|ce|là-bas,"ce n'est pas ici, c'est là-bas|et ce n'est pas là-bas"
"Oui, c'est ici, Monsieur.",4,1,4,4,0,"monsieur|oui, monsieur|c'est|c'est ici, monsieur",
Le boulevard Saint-Michel est ici.,4,4,5,6,1,saint-michel|est|le boulevard|boulevard|le boulevard saint-michel,mais le boulevard saint-michel est ici
"Où est la rue Saint-Jacques, s'il vous plaît?",4,11,8,12,1,vous|s'il vous plaît|plaît|vous plaît|s'il,"pardon, où est la rue saint-jacques, s'il vous plaît"
"Très bien, merci. Et vous?",4,1,5,4,0,vous|très|et vous|et,
Très bien. Est-ce que vous êtes américain?,4,2,7,7,0,est-ce que vous êtes américain|vous|est-ce que|américain|vous êtes,
"Oui, Mademoiselle, je suis américain.",4,1,5,6,0,"je|américain|oui, je suis américain|je suis|suis",
Je suis française. Est-ce que vous comprenez le français?,4,2,9,13,0,comprenez|vous comprenez|vous|est-ce que|est-ce que vous comprenez,
"Pardon, où est la rue Saint-Jacques, s'il vous plaît?",4,2,9,13,0,vous|s'il vous plaît|plaît|vous plaît|s'il,
"C'est ici, Mademoiselle.",4,2,3,2,0,mademoiselle|c'est,
