phrase,teaching_cue,context,speaker_response
Qu'est-ce que vous avez acheté?,"""What did you buy?""",question,Male Speaker
Est-ce que vous avez acheté un chapeau?,"""Did you buy a hat?""",question,Male Speaker
"Oui, un beau chapeau.","""Yes, a beautiful hat.""",vocabulary_introduction,Female Speaker
Un beau chapeau.,"""Yes, a beautiful hat.""",vocabulary_introduction,Female Speaker
Une semaine.,"Comment dit-on ""one week"" en français?",vocabulary_introduction,Male Speaker
Depuis hier.,"""Since yesterday.""",vocabulary_introduction,Female Speaker
Depuis quelques semaines.,"""Since a few weeks.""",vocabulary_introduction,Female Speaker
Pas mal.,"""Not bad.""",vocabulary_introduction,Female Speaker
Beaucoup de choses.,"""Lots of things."" Écoutez et répétez.",vocabulary_introduction,Female Speaker
J'ai mangé.,"""I ate.""",vocabulary_introduction,Female Speaker
Et j'ai acheté beaucoup de choses.,"""And I bought lots of things.""",vocabulary_introduction,Female Speaker
J'aime ça.,"Écoutez, répétez.",vocabulary_introduction,Female Speaker
"Moi, j'aime ça.","Écoutez, répétez.",vocabulary_introduction,Female Speaker
