utterance_text,vocabulary_words,tier_category,lifecycle_stage,total_lessons,lesson_distribution,simple_structure,functional_category,template_pattern
"Bonjour, Mademoiselle.",bonjour; mademoiselle,core_conversational,consolidation,4,"L2:6, L3:1, L4:2, L5:1",GREETING + TITLE,"greeting, politeness","[GREETING], [TITLE]"
"Bonjour, Monsieur.",bonjour; monsieur,core_conversational,consolidation,4,"L2:6, L3:1, L4:2, L5:1",GREETING + TITLE,"greeting, politeness","[GREETING], [TITLE]"
Comment allez-vous?,comment; aller,core_conversational,intensive_practice,4,"L2:10, L3:4, L4:5, L5:4",INTERROGATIVE + PRONOUN + VERB,"greeting, question, politeness",[INTERROGATIVE] [PRONOUN] [VERB]
"Très bien, merci.",très; bien; merci,core_conversational,consolidation,4,"L2:7, L3:2, L4:1, L5:1",ADVERB + ADJECTIVE + NOUN,"response, politeness","[ADVERB] [ADJECTIVE], [NOUN]"
Au revoir.,au; revoir,core_conversational,consolidation,4,"L2:7, L3:2, L4:4, L5:3",PREPOSITION + VERB,greeting,[PREPOSITION] [VERB]
"Oui, Mademoiselle.",oui; mademoiselle,core_conversational,consolidation,3,"L1:8, L2:3, L4:1",AFFIRMATION + TITLE,"response, politeness","[AFFIRMATION], [TITLE]"
Vous comprenez.,vous; comprendre,scaffolding,consolidation,3,"L1:7, L2:1, L4:3",PRONOUN + VERB,question,[PRONOUN] [VERB]
Je comprends.,je; comprendre,scaffolding,consolidation,3,"L1:6, L2:2, L3:1",PRONOUN + VERB,response,[PRONOUN] [VERB]
Le français.,le; français,scaffolding,consolidation,3,"L1:4, L2:2, L3:2",ARTICLE + NOUN,response,[DEFINITE ARTICLE] [NOUN]
Vous êtes.,vous; être,scaffolding,consolidation,3,"L1:4, L2:1, L3:4",PRONOUN + VERB,response,[PRONOUN] [VERB]
Vous êtes américain.,vous; être; américain,scaffolding,consolidation,3,"L1:2, L2:2, L3:1",PRONOUN + VERB + ADJECTIVE,statement,[PRONOUN] [VERB] [ADJECTIVE]
"Bonjour, Madame.",bonjour; madame,core_conversational,consolidation,3,"L2:5, L3:2, L5:1",GREETING + TITLE,"greeting, politeness","[GREETING], [TITLE]"
Je vais bien.,je; aller; bien,scaffolding,consolidation,3,"L2:4, L3:3, L5:2",PRONOUN + VERB + ADVERB,response,[PRONOUN] [VERB] [ADVERB]
"Au revoir, Madame.",au; revoir; madame,core_conversational,consolidation,3,"L2:2, L3:2, L4:2",PHRASE + TITLE,"greeting, politeness","[PHRASE], [TITLE]"
"Au revoir, Monsieur.",au revoir; monsieur,core_conversational,consolidation,3,"L2:3, L3:1, L5:1",PHRASE + TITLE,"greeting, politeness","[PHRASE], [TITLE]."
Pas très bien.,pas; très; bien,core_conversational,consolidation,3,"L2:5, L3:7, L4:2",NEGATION + ADVERB + ADJECTIVE,"negation, response",[NEGATION] [ADVERB] [ADJECTIVE]
Et vous?,et; vous,core_conversational,consolidation,3,"L3:4, L4:1, L5:3",CONJUNCTION + PRONOUN,question,[CONJUNCTION] [PRONOUN]
Mais.,mais,scaffolding,consolidation,3,"L3:4, L4:1, L5:1",CONJUNCTION,response,[CONJUNCTION]
S'il vous plaît.,s'il; vous; plaît,core_conversational,consolidation,3,"L3:4, L4:2, L5:3",POLITENESS_MARKER,politeness,[POLITENESS_MARKER]
